CourseName,Songs
Opening,The Ecstasy Of Gold - 2004 Remaster,It's Still Rock and Roll to Me,In The Air Tonight - 2015 Remastered,Beat It,Birdwatching,Eyes Without A Face,Bad Luck,Have You Ever Seen The Rain,Everlasting Light,The Landing
Luigi Circuit,Start Me Up - Remastered 2009,Seven Nation Army,Song 2 - 2012 Remaster
Moo Moo Meadows,Rattlin Bog,La Grange,Jolene
Mushroom Gorge,Silver Soul,Let It Happen,Electric Feel,Plastic Beach (feat. Mick Jones and Paul Simonon)
Toad's Factory,Joker And The Thief,Toxicity,Living After Midnight
Mario Circuit,1985,Rise and Shine,Panama
Coconut Mall,All Of The Lights,Flashing Lights,Ni**as In Paris
DK Summit,Immigrant Song - Remaster,The Zoo,Black Skinhead
Wario's Gold Mine,Crazy Train,Hot N*gga,Smells Like Teen Spirit
Daisy Circuit,I'm Shipping Up To Boston,The Passenger,Reelin In The Years
Koopa Cape,Tongue Tied,Mr. Blue Sky
Maple Treeway,Under Cover of Darkness,The Spins
Grumble Volcano,Pompeii,NICE OUT,Don't Stop Believin
Dry Dry Ruins,Power,Bulls On Parade,Rock And Roll All Nite
Moonview Highway,Jump Around,Bad Moon Rising,Bella ciao
Bowser's Castle,Bad To The Bone,F**kin' Problems (feat. Drake 2 Chainz & Kendrick Lamar),Howlin' For You
Rainbow Road,Jump - 2015 Remaster,The Final Countdown,Dream On
GCN Peach Beach,Rebel Yell,I Love Rock 'N Roll,Only A Fool Would Say That
DS Yoshi Falls,You Shook Me All Night Long,Roadhouse Blues,Wonderwall
SNES Ghost Valley 2,Back In Black,Paint It Black,Killer Queen - Remastered 2011
N64 Mario Raceway,Saving Grace,The Sound of Silence,Feel Good Inc.
N64 Sherbet Land,Cold as Ice,Snow (Hey Oh),Ice Ice Baby
GBA Shy Guy Beach,Juke Box Hero,T.N.T.
DS Delfino Square,Don't Bring Me Down,The Boys Are Back In Town,Paradise City
GCN Waluigi Stadium,You Give Love A Bad Name,One Way Or Another,Personal Jesus - 2006 Remaster
DS Desert Hills,Sweet Child O' Mine,Runnin' Down A Dream,Californication
GBA Bowser Castle 3,Life is a Highway,Highway to Hell,Hells Bells
N64 DK's Jungle Parkway,Welcome To The Jungle,Eye of the Tiger
GCN Mario Circuit,Fortunate Son,What's Up?,You Make My Dreams (Come True)
SNES Mario Circuit 3,Summer Of '69,House Of The Rising Sun,Old Time Rock & Roll
DS Peach Gardens,Happy Together,Doo Wop (That Thing)
GCN DK Mountain,Thunderstruck,Thunderstruck
N64 Bowser's Castle,Zombie,Viva La Vida
