Course Name,Fast Staff,Length,AP,CPI,text color
Luigi Circuit,1:19.42,30,28,NR,white
Moo Moo Meadows,1:25.91,28,22,26,white
Mushroom Gorge,2:01.01,20,23,29,white
Toad's Factory,2:05.59,17,21,7,black
Mario Circuit,1:33.70,25,25,16,white
Coconut Mall,2:13.33,14,16,9,white
DK Summit,2:17.55,11,10,11,black
Wario's Gold Mine,2:04.80,18,17,20,black
Daisy Circuit,1:41.36,24,26,2,white
Koopa Cape,2:41.37,4,7,30,black
Maple Treeway,2:37.81,7,14,13,black
Grumble Volcano,2:11.85,16,15,5,white
Dry Dry Ruins,2:14.29,13,9,19,black
Moonview Highway,2:04.16,19,18,NR,white
Bowser's Castle,2:42.10,3,4,3,white
Rainbow Road,2:44.73,2,3,25,white
GCN Peach Beach,1:23.14,29,30,22,white
DS Yoshi Falls,1:09.18,31,31,15,white
SNES Ghost Valley 2,0:58.91,32,32,6,white
N64 Mario Raceway,1:59.05,21,8,28,white
N64 Sherbet Land,2:28.36,9,20,21,white
GBA Shy Guy Beach,1:32.87,26,27,18,white
DS Delfino Square,2:24.17,10,13,14,black
GCN Waluigi Stadium,2:12.37,15,19,17,white
DS Desert Hills,1:52.67,22,6,10,white
GBA Bowser Castle 3,2:39.39,5,5,12,white
N64 DK's Jungle Parkway,2:37.78,8,11,27,white
GCN Mario Circuit,1:49.94,23,24,23,white
SNES Mario Circuit 3,1:26.66,27,29,4,black
DS Peach Gardens,2:16.78,12,12,1,black
GCN DK Mountain,2:38.13,6,2,8,white
N64 Bowser's Castle,2:55.94,1,1,24,white
