Standard Kart S,41,29,48,48,51,40,45
Standard Kart M,46,45,40,43,45,35,40
Standard Kart L,48,59,37,40,40,35,35
Standard Bike S,39,21,51,51,54,43,48
Standard Bike M,43,37,43,45,48,37,43
Standard Bike L,46,54,40,43,43,37,37
Blue Falcon,60,29,35,29,43,24,29
Booster Seat,27,27,56,64,37,54,59
Cheep Charger,34,24,64,56,59,45,54
Mini Beast,55,32,29,32,64,27,64
Tiny Titan,46,35,43,43,29,64,40
Bit Bike,25,18,59,67,40,56,62
Bullet Bike,53,24,32,35,67,29,67
Jet Bubble,48,27,40,40,45,35,37
Magikruiser,43,24,45,45,32,67,43
Quacker,32,17,67,60,62,48,57
Classic Dragster,37,43,59,54,54,40,51
Daytripper,34,45,51,59,32,48,54
Sprinter,64,48,27,24,37,21,24
Super Blooper,50,40,35,37,21,54,35
Wild Wing,57,51,21,29,59,24,59
Dolphin Dasher,48,43,37,40,24,56,37
Mach Bike,55,37,24,32,62,27,62
Sneakster,62,40,29,27,40,24,27
Sugarscoot,32,32,54,62,35,51,56
Zip Zip,41,35,45,51,29,62,45
Flame Flyer,62,59,16,21,48,18,48
Honeycoupe,53,62,27,29,56,24,56
Jetsetter,69,56,21,17,27,16,16
Offroader,39,64,48,54,18,43,45
Piranha Prowler,55,67,29,35,35,29,27
Flame Runner,60,54,18,24,51,21,51
Phantom,43,51,43,48,17,56,40
Shooting Star,50,48,29,32,59,27,59
Spear,67,56,24,18,29,18,18
Wario Bike,37,59,51,56,21,45,48
